cluster_id	sequence_id	start	end	tax_id	database	merged	length	pul_length_sum	percentage_in_puls	blast_status	domain	phylum	class	order	family	genus	species
PUL0146	CP000388	1036849	1074395	288	dbcan		5187005	47263	0.9111809223241543	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Paraglaciecola	Paraglaciecola atlantica_A
PUL0147	NZ_LT965930	17040	67290	227	dbcan		143981	50250	34.900438252269396	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas carrageenovora
PUL0150	LT965928	1244357	1267465	227	dbcan		3620649	23108	0.6382281187709717	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas carrageenovora
PUL0152	CP000388	4406812	4416529	288	dbcan		5187005	47263	0.9111809223241543	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Paraglaciecola	Paraglaciecola atlantica_A
PUL0153	CP067366	5514	10081	47715	dbcan		63181	7390	11.6965543438692	true	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus casei
PUL0155	AE007870	11703	21103	1176649	dbcan		2075577	9400	0.45288611311457005	false	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum
PUL0156	CP067366	34245	37068	47715	dbcan		63181	7390	11.6965543438692	true	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus casei
PUL0157	CP136114	289901	294533	47715	dbcan		2958057	4632	0.1565892746488658	true	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus rhamnosus
PUL0159	CP166135	54882	57705	47715	dbcan		64513	2823	4.3758622293181215	true							
PUL0166	FQ312004	3710042	3720606	817	dbcan		5373121	37350	0.6951267243004577	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
PUL0168	AE005176	2053080	2066266	1360	dbcan		2365589	13186	0.557408746827957	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
PUL0169	AM039952	3088883	3109438	456327	dbcan		5178466	20555	0.39693221892351904	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas euvesicatoria
PUL0174	CP001736	4338948	4346415	182640	dbcan		7579488	15023	0.19820600019420836	false	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella	Kribbella flavida
PUL0175	AY526725	111	5257	39650	dbcan		6510	5146	79.04761904761905	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	Cellvibrio sp000263355
PUL0176	CP001736	1994155	2001711	182640	dbcan		7579488	15023	0.19820600019420836	false	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella	Kribbella flavida
PUL0187	CP001656	1124076	1136568	324057	dbcan		7184930	12492	0.17386390681607197	false	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Pristimantibacillus	Pristimantibacillus sp000023585
PUL0194	AE005672	2050572	2061389	1313	dbcan		2160842	47935	2.218348217963183	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
PUL0195	NC_003030	444719	451147	1488	dbcan		3940880	6428	0.16311077728832138	false	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium_S	Clostridium_S acetobutylicum
PUL0196	NC_010999	288852	300044	1582	dbcan		3079196	11192	0.36347150360029046	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei
PUL0199	NC_007912	4176251	4200317	86304	dbcan		5057531	24066	0.4758448341690837	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Saccharophagus	Saccharophagus degradans
PUL0207	NC_004368	1951803	1958763	1311	dbcan		2211485	6960	0.3147206515079234	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
PUL0208	AH007017	89	8199	43657	dbcan		8301	8110	97.69907240091555	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas spongiae
PUL0209	CP002038	3416624	3428226	204038	dbcan		4922802	22897	0.4651212866168495	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dadantii
PUL0210	NC_008261	473690	487358	1502	dbcan		3256683	13668	0.4196908326662435	false	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Sarcina	Sarcina perfringens
PUL0211	AE008922	3414366	3434455	340	dbcan		5076188	62493	1.231100975771583	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris
PUL0212	NC_008618	2006567	2020309	1680	dbcan		2089645	36014	1.7234506339593567	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
PUL0213	NC_008618	2044437	2051250	1680	dbcan		2089645	36014	1.7234506339593567	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
PUL0214	NC_008618	1763016	1778475	1680	dbcan		2089645	36014	1.7234506339593567	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
PUL0215	NC_010995	3175359	3185628	155077	dbcan		4576573	10269	0.2243818682669325	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	Cellvibrio japonicus
PUL0217	NZ_KE386494	1052130	1059390	44256	dbcan		1071729	23797	2.220430724558167	false	Bacteria	Bacillota	Thermoanaerobacteria	Thermoanaerobacterales	Caldanaerobiaceae	Caldanaerobius	Caldanaerobius polysaccharolyticus
PUL0218	HF548278	1	41173	433724	dbcan		41175	41172	99.99271402550092	false							
PUL0219	CP034973	2622765	2633213	1597	dbcan		3063065	10448	0.34109625489501527	true	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei
PUL0221	KC246798	14700	34417	1393449	dbcan		35040	19717	56.26997716894977	false							
PUL0222	KC246824	16752	27980	1393527	dbcan		27980	11228	40.12866333095068	false							
PUL0227	JX087428	0	18201	44256	dbcan		18410	18201	98.8647474198805	false	Bacteria	Bacillota	Thermoanaerobacteria	Thermoanaerobacterales	Caldanaerobiaceae	Caldanaerobius	Caldanaerobius polysaccharolyticus
PUL0230	CP000033	1872452	1887508	1579	dbcan		1993560	46571	2.3360721523305044	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus
PUL0231	AY870655	355	2710	555	dbcan		3050	2355	77.21311475409836	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium aroidearum
PUL0232	CP000303	2337397	2344915	1685	dbcan		2422684	43660	1.802133501521453	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
PUL0233	CP000303	2325349	2332210	1685	dbcan		2422684	43660	1.802133501521453	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
PUL0238	CP147877	628043	635282	1423	dbcan		4215606	44346	1.0519484031477324	false	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
PUL0239	JX424618	10820	37418	1231727	dbcan		37675	26598	70.5985401459854	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bryantii
PUL0240	JX424621	4621	24098	1231728	dbcan		37939	19477	51.33767363399141	false							
PUL0241	JX424622	7409	20096	1231729	dbcan		49907	12687	25.4212835874727	false							
PUL0242	JX424627	4542	17611	1231730	dbcan		22810	13069	57.29504603244191	false							
PUL0243	JX424628	13465	32307	1231731	dbcan		32307	18842	58.32172594174637	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902788605
PUL0244	JUET01000139	87387	102782	28112	dbcan		112114	15395	13.731558948926985	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella forsythia
PUL0245	AE005672	2072292	2085657	1313	dbcan		2160842	47935	2.218348217963183	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
PUL0248	AE016795	775591	796807	672	dbcan		3281866	21216	0.646461494771572	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio vulnificus_B
PUL0249	CP147877	763080	778206	1423	dbcan		4215606	44346	1.0519484031477324	false	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
PUL0264	NZ_SEUH01000010	54056	99413	77608	dbcan		111950	45357	40.5154086645824	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas carrageenovora
PUL0265	LN554884	1393841	1396506	1288	dbcan		2786686	2665	0.09563330780719465	true	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
PUL0266	NC_012028	114293	135268	2247	dbcan		525943	20975	3.9880747533477963	false							
PUL0267	CP000033	665968	680930	1579	dbcan		1993560	46571	2.3360721523305044	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus
