sequence_id	cluster_id	start	end	tax_id
NC_008261	PUL0210	473690	487358	1502
AE008922	PUL0211	3414366	3434455	340
NC_008618	PUL0212	2006567	2020309	1680
NC_008618	PUL0213	2044437	2051250	1680
NC_008618	PUL0214	1763016	1778475	1680
NC_010995	PUL0215	3175359	3185628	155077
AB011415	PUL0216	1	14738	28214
NZ_KE386494	PUL0217	1052130	1059390	44256
HF548278	PUL0218	1	41173	433724
DQ396803	PUL0219	1	10449	1597
JPDI01000001	PUL0220	2291648	2313366	1336803
KC246798	PUL0221	14700	34417	1393449
KC246824	PUL0222	16752	27980	1393527
NC_011898	PUL0224	1502003	1537237	1521
NZ_DS990130	PUL0225	72558	132837	310297
JX087428	PUL0227	0	18201	44256
EU024644	PUL0229	606	12564	324057
CP000033	PUL0230	1872452	1887508	1579
AY870655	PUL0231	355	2710	555
CP000303	PUL0232	2337397	2344915	1685
CP000303	PUL0233	2325349	2332210	1685
CU207366	PUL0234	3621545	3636631	411153
CU207366	PUL0235	1204786	1228271	411153
CU207366	PUL0236	2258233	2278112	411153
NC_000964	PUL0238	626622	633862	1423
JX424618	PUL0239	10820	37418	1231727
JX424621	PUL0240	4621	24098	1231728
JX424622	PUL0241	7409	20096	1231729
JX424627	PUL0242	4542	17611	1231730
JX424628	PUL0243	13465	32307	1231731
JUET01000139	PUL0244	87387	102782	28112
AE005672	PUL0245	2072292	2085657	1313
AAZZ01000003	PUL0246	96120	112614	1313
AE016795	PUL0248	775591	796807	672
NC_000964	PUL0249	761662	776790	1423
AE015928	PUL0251	5656890	5668765	818
AE015928	PUL0252	5419109	5433257	818
CP012801	PUL0262	5567610	5593852	246787
CP012801	PUL0263	5620956	5634301	246787
NZ_SEUH01000010	PUL0264	54056	99413	77608
X78853	PUL0265	438	3103	1288
NC_012028	PUL0266	114293	135268	2247
CP000033	PUL0267	665968	680930	1579
BA000043	PUL0268	726823	732934	1462
NC_017943	PUL0269	25887	44810	2252
CP001515	PUL0271	53714	59731	302911
CP001515	PUL0272	565133	571261	302911
CP001515	PUL0273	574340	581311	302911
CP001515	PUL0274	604574	622423	302911
CP001515	PUL0275	1845783	1858407	302911
CP001515	PUL0276	1884284	1897997	302911
AE005672	PUL0277	1624067	1629762	1313
AE005672	PUL0278	1710372	1718159	1313
CP000410	PUL0279	1598353	1605802	1313
JF327803	PUL0282	80	11724	1422
CP000303	PUL0283	555379	565250	1685
CP000303	PUL0284	1928568	1934764	1685
CP000303	PUL0285	707814	714874	1685
CP000685	PUL0289	4598617	4627427	986
CP014225	PUL0291	2260803	2272654	562
EU599185	PUL0292	495	16938	158899
PJEE01000011	PUL0294	293988	308944	216816
NZ_PJEF01000016	PUL0295	18122	45020	216816
PJDT01000028	PUL0296	157706	165136	216816
NZ_PJEG01000006	PUL0297	13106	25205	216816
NZ_PJEE01000001	PUL0298	419370	431274	216816
NZ_PJDX01000003	PUL0299	147509	164237	216816
NZ_PJDO01000018	PUL0300	15593	34141	216816
AE015928	PUL0302	417722	455321	818
EU599184	PUL0303	199	9399	158899
AE015928	PUL0304	6116237	6129985	818
AE015928	PUL0305	5371714	5408988	818
NZ_DS264584	PUL0306	990972	1007441	28116
NZ_HG326223	PUL0307	3032487	3037022	615
NZ_KE386494	PUL0309	723442	739979	44256
HG738867	PUL0311	3086037	3095373	562
L41732	PUL0312	1072	4481	33996
FP476056	PUL0313	4847515	4853424	63186
FP476056	PUL0314	3469548	3478173	63186
FP476056	PUL0315	4128951	4136683	63186
FP476056	PUL0316	5366976	5388576	63186
FP476056	PUL0317	4920036	4924412	63186
FP476056	PUL0318	288677	292362	63186
FP476056	PUL0319	3465709	3473860	63186
CP001393	PUL0320	1929397	1982736	31899
NC_007946	PUL0321	1676979	1683154	562
NZ_LACM01000001	PUL0322	2094992	2154688	1387557
NZ_CP034484	PUL0323	3496872	3504872	135461
AE015928	PUL0325	4246707	4258987	818
DS264584	PUL0326	82516	94883	28116
NZ_CAWH010000143	PUL0327	18754	27639	1351
CP016359	PUL0328	364304	380160	1486245
CP016359	PUL0329	398120	434831	1486245
CP016359	PUL0330	2419903	2461893	1486245
NC_006840	PUL0331	662465	667978	668
LT674122	PUL0332	387	30039	77133
LT674123	PUL0333	51	34440	77133
LT674124	PUL0334	1	40228	77133
LT674125	PUL0335	126	38827	77133
LT674126	PUL0336	646	31612	77133
LT674127	PUL0337	155	35766	77133
LT674128	PUL0338	328	43016	77133
LT674129	PUL0339	20	37156	77133
LT674130	PUL0340	36	29087	77133
LT674131	PUL0341	1	35638	77133
NC_014033	PUL0342	3346598	3359433	839
LT674132	PUL0343	107	30768	77133
CP000685	PUL0344	5499208	5523115	986
ABJL02000008	PUL0345	2468545	2529030	329854
HE717017	PUL0346	1	22889	77133
CP006712	PUL0347	1904821	1922254	1685
AP006841	PUL0348	2022215	2049211	817
NC_013192	PUL0349	1609965	1613940	40542
X81461	PUL0351	3171	8055	562
AE015928	PUL0352	1987600	1998053	818
AE015928	PUL0354	3611934	3629267	818
AE015928	PUL0356	6174951	6185842	818
AE015928	PUL0357	1061861	1068345	818
CP007013	PUL0361	997862	1008239	2336
AE008922	PUL0362	3996974	4004221	340
AE008922	PUL0363	150292	155526	340
AE008922	PUL0364	4895164	4909294	340
AE008922	PUL0365	2926204	2941997	340
AF228498	PUL0366	33	11506	562
AE014295	PUL0367	1171511	1175802	216816
CP001095	PUL0368	2595574	2636747	1682
AP009044	PUL0370	3017544	3021779	1718
AB034969	PUL0371	247	8393	91619
AP009044	PUL0372	2877504	2881918	1718
CP002038	PUL0373	406834	413500	204038
CP002038	PUL0374	1781030	1785659	204038
AE015928	PUL0376	3502745	3522095	818
AE015928	PUL0377	4269304	4322090	818
AE015928	PUL0380	5185604	5205167	818
NC_002505	PUL0381	1355388	1361117	666
AE015928	PUL0382	5582952	5601271	818
AE015928	PUL0383	5739541	5749363	818
AE015928	PUL0384	6085860	6111470	818
NC_011898	PUL0385	838275	864108	1521
NC_003902	PUL0387	4057997	4068416	340
NC_000853	PUL0390	51632	81458	2336
FP929033	PUL0392	5671246	5693505	371601
AB516430	PUL0393	932	22419	252514
GU591787	PUL0394	20	7392	360807
DQ868502	PUL0395	1562	38010	1422
AM260479	PUL0396	327968	338299	106590
CP002113	PUL0397	931942	940427	28188
CP002113	PUL0398	1883302	1900134	28188
CP000033	PUL0399	1437361	1453914	1579
CABDWQ010000001	PUL0400	1088947	1111260	28108
CABDWQ010000001	PUL0401	4308631	4326179	28108
AP012281	PUL0402	1563593	1571798	1046624
CABDWQ010000001	PUL0403	4637792	4645257	28108
CABDWQ010000001	PUL0404	2755697	2777573	28108
CABDWQ010000001	PUL0405	4433602	4444984	28108
NZ_PXJC01000002	PUL0406	246468	268868	35786
EU670680	PUL0407	425	5007	1582
CR626927	PUL0408	944105	949034	817
AOMX01000002	PUL0410	934681	941265	562
Z49241	PUL0411	141	2293	77095
AF417111	PUL0412	170	3605	305
JQ844187	PUL0413	25	31062	1181542
JN903693	PUL0414	25	31062	1194347
AAXF02000034	PUL0415	53978	62950	28116
AAXF02000045	PUL0416	159078	179453	28116
AAXF02000045	PUL0417	182417	201731	28116
AAXF02000047	PUL0418	50166	64939	28116
AAXF02000049	PUL0419	5637	24413	28116
AAXF02000051	PUL0420	82282	90818	28116
AAXF02000051	PUL0421	282755	296970	28116
AAXF02000051	PUL0422	328985	336294	28116
AF039487	PUL0423	471	4846	2337
AAXF02000052	PUL0424	427830	453092	28116
AAXF02000053	PUL0425	430410	446578	28116
AAXF02000054	PUL0426	154068	176391	28116
AAXF02000054	PUL0427	993485	1003801	28116
AF132735	PUL0434	91	14184	1493
NC_013132	PUL0435	8430021	8450532	79329
NC_013132	PUL0436	6332436	6356908	79329
NC_013132	PUL0437	7999112	8012270	79329
NC_013132	PUL0438	3842071	3855811	79329
NC_013132	PUL0439	8967770	8975641	79329
NC_013132	PUL0440	3320046	3334701	79329
NC_013132	PUL0441	7759625	7769685	79329
NC_013132	PUL0442	2681099	2699496	79329
NC_013132	PUL0443	6370913	6392100	79329
NC_013132	PUL0444	7079936	7091101	79329
AB011415	PUL0445	2533	14738	28214
CP003170	PUL0454	4053711	4085799	134676
AF441242	PUL0455	771	5247	28025
CP091800	PUL0456_1	811569	817528	77095
CP091800	PUL0456_2	49194	67389	77095
NZ_AKZK01000039	PUL0457	17308	27154	231049
NZ_PJAI02000005	PUL0458	97665	174649	1982103
NZ_PJAI02000001	PUL0459	312861	400633	1982103
NZ_LSNE01000005	PUL0460	77024	114972	1799789
AE015928	PUL0463	520419	541138	818
AE015928	PUL0464	541795	572833	818
AE015928	PUL0465	1588730	1600485	818
NC_000964	PUL0466	2938330	2948875	1423
AE015928	PUL0467	1998220	2027198	818
AE015928	PUL0468	4457047	4526084	818
AE015928	PUL0470	4866087	4875193	818
AE015928	PUL0471	5142097	5162752	818
AE015928	PUL0472	5301977	5353000	818
NC_009441	PUL0473	1373643	1389113	986
NC_009441	PUL0474	1804386	1822482	986
LN997842	PUL0475	3957983	3965681	1926
NC_009441	PUL0476	2361555	2383192	986
NC_009441	PUL0477	2909489	2921156	986
NC_009441	PUL0478	3224740	3240308	986
NC_009441	PUL0479	3677164	3718458	986
NC_009441	PUL0480	4577233	4596884	986
NC_009441	PUL0482	4877994	4935368	986
NC_009441	PUL0483	5085429	5105641	986
NC_009441	PUL0484	5124512	5142865	986
NC_009441	PUL0485	5337222	5358507	986
AE007317	PUL0486	1679660	1689931	1313
NC_009441	PUL0488	5974734	5995493	986
AB063629	PUL0497	537	7768	43662
AB110645	PUL0508	2693	9366	1952
NC_003098	PUL0519	1895736	1905654	1313
AY297960	PUL0520	551	3742	571
NZ_CP012938	PUL0526	4323087	4335455	28116
NZ_CP012938	PUL0527	3774860	3807877	28116
NZ_CP012938	PUL0528	3918991	3935883	28116
NZ_CP012938	PUL0529	5623780	5679732	28116
NZ_HG326223	PUL0531	172559	177453	615
CP012801	PUL0532	925123	954278	246787
CP012801	PUL0533	970841	992635	246787
CP012801	PUL0534	1395119	1415148	246787
CP012801	PUL0535	1905313	1924770	246787
CP012801	PUL0536	2024923	2035361	246787
CP012801	PUL0537	2262180	2278234	246787
CP012801	PUL0538	2388865	2412814	246787
CP012801	PUL0539	2467595	2494001	246787
CP012801	PUL0540	2988996	3000925	246787
CP012801	PUL0541	3093489	3107238	246787
DQ868502	PUL0542	38552	76554	1422
CP012801	PUL0543	3131879	3145280	246787
CP012801	PUL0545	3674190	3695070	246787
CP012801	PUL0546	3762614	3783277	246787
CP012801	PUL0547	3873827	3892680	246787
CP012801	PUL0548	3934555	3947059	246787
CP012801	PUL0549	5229371	5243662	246787
CP012801	PUL0550	5289963	5307396	246787
CP012801	PUL0551	5665654	5677137	246787
CP012801	PUL0552	6309775	6324625	246787
FP929033	PUL0553	3588797	3632016	371601
CP012801	PUL0554	6804983	6817567	246787
NC_016776	PUL0555	437949	454517	817
NC_016776	PUL0556	1583511	1593729	817
AE015928	PUL0558	1200747	1298373	818
AE015928	PUL0559	4749697	4766546	818
AE015928	PUL0560	292568	340723	818
NC_004567	PUL0561	3100330	3091774	1590
AE015928	PUL0563	4766676	4792038	818
AE015928	PUL0564	5441391	5517337	818
NZ_CP012938	PUL0565	3590082	3608913	28116
NZ_CP012938	PUL0566	6315776	6332245	28116
NZ_CP010086	PUL0568	6311368	6316315	1520
NC_000964	PUL0569	3536012	3540727	1423
AF508972	PUL0570	1307	5555	1718
AE006468	PUL0571	1390110	1397061	28901
CP007224	PUL0572	1516668	1533320	287
NC_010572	PUL0573	5564640	5570805	1911
NC_002737	PUL0574	1312429	1324390	1314
NZ_ABQA01000009	PUL0575	6717	20398	1352
CP001840	PUL0576	1236100	1248439	1681
NC_006370	PUL0577	541673	560134	74109
CP000303	PUL0578	153080	159234	1685
NC_002505	PUL0579	1058502	1062895	666
NC_002505	PUL0580	1930173	1932886	666
AB669415	PUL0581	174	4818	1081041
AM406671	PUL0582	174930	179693	1358
U07818	PUL0583	1	4306	1422
CP001834	PUL0584	2317224	2332669	1358
CP000410	PUL0585	274549	281092	1313
AB728624	PUL0586	585	5032	615
CP019300	PUL0587	699372	703335	28131
AL645882	PUL0588	5692292	5696970	1902
CP007016	PUL0589	1487974	1492885	1309
NZ_ABQJ01000017	PUL0590	21176	27433	1352
NC_000964	PUL0591	3594242	3598020	1423
CP001656	PUL0592	1572581	1584525	324057
M57692	PUL0593	1434	12828	33950
CP001656	PUL0594	4094827	4100740	324057
FP929042	PUL0595	2173768	2180902	39491
FP929042	PUL0596	196460	202017	39491
KM066603	PUL0597	110	6942	909925
CP002160	PUL0598	731364	737408	573061
CP002160	PUL0599	3141436	3150824	1493
CP002160	PUL0600	3925850	3941689	1493
CP002160	PUL0601	2667794	2686941	1493
CP002835	PUL0602	2158671	2196700	1426
NC_004567	PUL0603	2676726	2679930	1590
NC_004567	PUL0604	164479	171853	1590
CP025268	PUL0605	3564821	3574189	562
NC_020517	PUL0606	389206	393826	1685
NZ_CP014224	PUL0607	1677698	1717015	1790137
NC_015977	PUL0608	885483	897323	301301
NZ_ACFY01000084	PUL0609	45466	61920	360807
CP001807	PUL0610	1220087	1251526	29549
RHLG01000001	PUL0611	87985	112122	1883156
RHLF01000001	PUL0612	1252462	1269410	192149
JABKKG010000003	PUL0613	315037	327406	2736291
JABKKG010000004	PUL0614	10910	19195	2736291
JABKKG010000004	PUL0615	347323	358632	2736291
JABKKG010000005	PUL0616	52557	72877	2736291
JABKKG010000005	PUL0617	106573	131671	2736291
JABKKG010000006	PUL0618	163785	179147	2736291
JABKKE010000013	PUL0619	76512	87027	2736291
JABKKE010000016	PUL0620	24466	52842	2736291
JABKKE010000002	PUL0621	129359	150740	2736291
JABKKE010000021	PUL0622	12378	52329	2736291
JABKKF010000001	PUL0623	275500	306619	2736291
JABKKF010000001	PUL0624	437271	467310	2736291
JABKKF010000013	PUL0625	29296	73074	2736291
JAATOH010000049	PUL0626	5342	40541	47770
HF548280	PUL0630	18604	35744	433724
NZ_CP060437	PUL0631	182863	192114	1537215
NZ_ACFY01000156	PUL0632	29140	36513	360807
NZ_CVRR01000009	PUL0633	42847	50088	301302
NC_012781	PUL0634	236959	244278	39491
NZ_BLYL01000002	PUL0635	70950	76292	33043
NZ_BLYL01000009	PUL0636	14990	22272	33043
NZ_CP022479	PUL0637	1869091	1875620	853
NZ_KB290636	PUL0638	72733	80570	649756
NZ_KB290676	PUL0639	26972	32883	649756
NZ_KB290658	PUL0640	52148	63706	649756
NZ_DS499729	PUL0641	73694	81982	105841
NZ_LR027880	PUL0642	4318380	4338276	166486
NZ_ABJL02000007	PUL0643	167129	189673	329854
NZ_EQ973490	PUL0644	1329075	1352417	246787
NZ_JH992941	PUL0645	1220565	1238669	626931
NZ_GL882612	PUL0646	2624	15125	626930
NC_004350	PUL0647	1459786	1467814	1309
NZ_GL892007	PUL0648	234463	309097	163665
NZ_AP022379	PUL0650	35557	47456	216816
NZ_KB898707	PUL0651	82900	184489	396005
AL645882	PUL0653	3831534	3854645	1902
NZ_CAJQES010000007	PUL0654	56564	116108	320912
NZ_CAJQES010000017	PUL0655	10692	25936	320912
LC529899	PUL0657	1	7951	1479
NC_021020	PUL0658	1747686	1765259	853
NC_021020	PUL0659	989705	995264	853
NZ_DS995531	PUL0662	353357	368726	357276
NZ_DS990123	PUL0663	30514	46197	310297
NZ_DS990119	PUL0664	268931	297885	310297
NC_004663	PUL0665	3852033	3868605	818
NC_004663	PUL0666	4732770	4741675	818
NC_004663	PUL0667	4883107	4887725	818
NZ_GL622542	PUL0669	196589	248685	28111
NC_008255	PUL0671	1051545	1060308	985
NZ_AP012330	PUL0673	2208139	2217803	28026
NZ_DS264579	PUL0674	171439	188809	28116
NZ_MWQX02000053	PUL0675	2616	8450	573
NZ_MYFP02000002	PUL0676	307028	312828	1963027
NZ_MYFN02000025	PUL0677	10359	16112	1967501
JAHNZS010000006	PUL0678	75338	83140	1590
JAHNZS010000043	PUL0679	498	9566	1590
NZ_DS362248	PUL0680	13508	46981	820
JABUTP010000015	PUL0681	7177	23063	2212467
JABUUE010000008	PUL0682	60606	67086	2212467
NC_009004	PUL0683	1815995	1823564	1358
NZ_CP016797	PUL0684	2087543	2092403	1580
NZ_GG694015	PUL0686	628137	645739	46124
CP000139	PUL0687	52180	64275	821
NC_004663	PUL0688	4017692	4028556	818
NC_004663	PUL0689	3557328	3578591	818
NC_004663	PUL0690	2349872	2365002	818
NZ_CP090614	PUL0691	182893	204524	28169
NZ_CP090615	PUL0692	881004	916339	28169
NZ_CP090616	PUL0693	203954	225503	28169
NC_012034	PUL0694	212375	236250	31899
NC_012034	PUL0695	697213	703783	31899
NC_012034	PUL0696	939000	956668	31899
NC_012034	PUL0697	2873292	2877263	31899
NZ_JQNJ01000001	PUL0698	479375	519385	111500
NC_015977	PUL0699	2480616	2500030	585394
NC_016610	PUL0700	2445130	2461032	203275
NC_003919	PUL0701	4984490	5029051	346
NC_003919	PUL0702	2024740	2042333	346
NZ_CP098511	PUL0703	2147167	2215680	2949996
NZ_JPOL01000002	PUL0704	485437	525817	1392488
NZ_JPOL01000002	PUL0705	858730	891783	1392488
NC_008228	PUL0706	929370	998729	288
NC_008228	PUL0707	2345055	2410403	288
NC_008228	PUL0708	2803538	2853937	288
NC_008228	PUL0709	3084705	3118892	288
NC_010655	PUL0710	641820	650608	239935
NC_010655	PUL0711	1310567	1317995	239935
NC_004663	PUL0712	4125849	4142407	818
NC_004663	PUL0713	4625680	4628579	818
NZ_CP012938	PUL0714	4902937	4918992	28116
NZ_CP014224	PUL0715	2761835	2778420	1790137
JAPFGC010000002	PUL0716	2829899	2854950	2708110
NC_004663	PUL0717	3989587	4001991	818
NZ_CP113514	PUL0718	6031188	6049179	28116
NC_003919	PUL0719	3056086	3070365	346
NC_015067	PUL0720	266861	284077	216816
NZ_CP046176	PUL0721	3701356	3726995	357276
NZ_CP074436	PUL0722	2331852	2376746	2806551
NZ_DS995531	PUL0723	42179	73562	357276
NC_009614	PUL0724	266736	296905	821
NZGN01000053	PUL0725	366	10437	2024839
NC_003063	PUL0726	302505	312552	1176649
NZ_CP014224	PUL0727	1788619	1841724	1790137
JABDHV010000033	PUL0728	5144	33037	239935
NC_020238	PUL0729	5336873	5346552	1428
NC_014934	PUL0730	476402	500825	59600
NZ_KI912107	PUL0731	951732	990598	982
NZ_CP009976	PUL0732	4522759	4551467	76594
NZ_KB890760	PUL0733	14002	39447	346377
NC_015167	PUL0734	1997203	2029289	979
NZ_JDUC01000011	PUL0735	49606	76521	216816
NZ_GL882595	PUL0736	202523	218248	626929
NZ_VISB01000001	PUL0737	216319	247401	1250050
NZ_VISB01000001	PUL0738	3238797	3314997	1250050
NZ_VISB01000001	PUL0739	3898483	3974612	1250050
NC_011593	PUL0740	2442411	2445795	216816
NC_011593	PUL0741	2558878	2565276	216816
NC_011593	PUL0742	395169	402861	216816
NC_011898	PUL0743	1548963	1567460	1521
NC_002973	PUL0744	2802883	2807265	1639
NZ_CP012938	PUL0745	14804	35944	28116
NZ_CP012938	PUL0746	402704	416580	28116
NZ_CP012938	PUL0747	2036824	2056868	28116
NZ_CP028092	PUL0748	2624663	2654379	2571030
OZ022674	PUL0749	14403	20763	77133
NZ_CP102288	PUL0750	243976	266452	165179
NZ_JAEFCJ010000001	PUL0751	3865119	3871380	562
NZ_CP084061	PUL0752	2698236	2712112	2877527
NZ_CP022413	PUL0753	515673	529175	1322
NZ_GG657685	PUL0754	174321	185015	53443
NZ_BTHI01000008	PUL0755	50227	64778	418240
NZ_JH815203	PUL0756	384150	410513	742726
NZ_JH815204	PUL0757	116612	129267	742726
NZ_JH815204	PUL0758	771118	779371	742726
NZ_CP102288	PUL0759	355831	365545	537011
NZ_CP102288	PUL0760	546421	560634	537011
NZ_CP102288	PUL0761	3016180	3034875	537011
NZ_CP102288	PUL0762	3278053	3299246	537011
NZ_CP102288	PUL0763	3309626	3319524	537011
NZ_CP102288	PUL0764	2782	11969	537011
NZ_CP102288	PUL0765	24235	42294	537011
NZ_CP102288	PUL0766	2366674	2377238	537011
NZ_CP102288	PUL0767	434338	466766	537011
NZ_CP102288	PUL0768	3094181	3109415	537011
NZ_CP102288	PUL0769	2453316	2471587	537011
NZ_CP102288	PUL0770	864253	876017	537011
CAWLDL010000001	PUL0771	6731951	6765929	595460
CAWLDL010000001	PUL0772	7739220	7751801	595460
CAWLDL010000001	PUL0773	7900164	7920634	595460
CAWLDL010000001	PUL0774	8246839	8283270	595460
CAWLDL010000001	PUL0775	8412786	8431923	595460
CAWLDL010000001	PUL0776	8830237	8876736	595460
NZ_CAWLDM010000001	PUL0777	825302	866107	445327
NZ_CAWLDM010000001	PUL0778	1354823	1382854	445327
NZ_CAWLDM010000001	PUL0779	1497165	1524265	445327
NZ_CAWLDM010000001	PUL0780	2673596	2721482	445327
NZ_CAWLDM010000001	PUL0781	4971656	5000661	445327
NZ_CAWLDM010000001	PUL0782	5325807	5350204	445327
NZ_CAWLDM010000001	PUL0783	6350456	6389301	445327
