Organism,Scaffold,Start,End,Score,AE015928_4787,AE015928_4788,AE015928_4789,AE015928_4790,AE015928_4791,AE015928_4792,AE015928_4793,AE015928_4794,AE015928_4795,AE015928_4796,AE015928_4797,AE015928_4798,AE015928_4799,AE015928_4800,AE015928_4801,AE015928_4802,AE015928_4803,AE015928_4804,AE015928_4805,AE015928_4806,AE015928_4807,AE015928_4808,AE015928_4809,AE015928_4810,AE015928_4811
FP929033,FP929033.1,4713195,4726182,12.6878,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0
FQ312004,FQ312004.1,1509892,1513933,5.2179,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
JH724241,JH724241.1,3143725,3160481,17.9765,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JH724241,JH724241.1,3177690,3185176,7.3950,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
JH724241,JH724241.1,3195679,3201205,5.2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
LT622246,LT622246.1,3575827,3592643,17.9842,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT622246,LT622246.1,3597771,3612573,9.5944,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
LT622246,LT622246.1,3623130,3628656,5.2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
NC_003228,NC_003228.3,1450595,1454636,5.2179,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
NC_004663,NC_004663.1,6085859,6132647,51.9189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC_006347,NC_006347.1,1474197,1478238,5.2178,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
NC_016776,NC_016776.1,1509892,1513933,5.2179,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,2105881,2109919,5.2098,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,6281417,6298212,17.9842,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,6303361,6318223,9.5972,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,6328720,6334246,5.2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
NZ_CP113514,NZ_CP113514.1,1694003,1710760,14.8748,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP113514,NZ_CP113514.1,1716017,1727841,9.5988,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
NZ_DS264584,NZ_DS264584.1,956613,973408,17.9842,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_DS264584,NZ_DS264584.1,978557,993419,9.5972,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
NZ_DS264584,NZ_DS264584.1,1003916,1009442,5.2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
NZ_NFHS01000001,NZ_NFHS01000001.1,733749,737772,5.2138,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
