Organism,Scaffold,Start,End,Score,LT622246_2207,LT622246_2208,LT622246_2209,LT622246_2210,LT622246_2211,LT622246_2212,LT622246_2213,LT622246_2214,LT622246_2215,LT622246_2216,LT622246_2217,LT622246_2218,LT622246_2219,LT622246_2220,LT622246_2221,LT622246_2222,LT622246_2223,LT622246_2224,LT622246_2225,LT622246_2226,LT622246_2227,LT622246_2228,LT622246_2229,LT622246_2230,LT622246_2231,LT622246_2232,LT622246_2233,LT622246_2234,LT622246_2235,LT622246_2236,LT622246_2237,LT622246_2238,LT622246_2239
FP929033,FP929033.1,4024207,4085400,51.3599,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1
JABKKG010000004,JABKKG010000004.1,166308,170381,3.1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
JH724241,JH724241.1,2424201,2481718,47.0174,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,2,1,1,1,1,1,1,2
LT622246,LT622246.1,2989775,3049519,62.8015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2
NC_004663,NC_004663.1,5441390,5458835,10.7713,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_004663,NC_004663.1,5490419,5506823,10.7663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0
NC_009614,NC_009614.1,279639,296905,11.7357,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
NC_009614,NC_009614.1,228066,233139,5.2373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,2630471,2638884,5.3518,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,2604229,2609790,3.2626,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
NZ_CP012938,NZ_CP012938.1,5695359,5755102,62.7972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
NZ_CP046176,NZ_CP046176.1,4106781,4124046,11.7352,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
NZ_CP046176,NZ_CP046176.1,4033546,4038618,5.2368,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
NZ_CP113514,NZ_CP113514.1,1053806,1111546,56.4724,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,2
NZ_DS264584,NZ_DS264584.1,370559,430302,62.7990,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
NZ_DS995531,NZ_DS995531.1,42178,59443,11.7352,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
NZ_DS995531,NZ_DS995531.1,127606,132678,5.2368,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
