sequence_id	length
NC_008228	5187005
CP001807	3261604
DQ396803	10449
ACXX02000019	96826
NZ_LT965930	143981
JUET01000139	112114
NZ_BLYL01000002	261617
NZ_GG657685	474463
NZ_PJEF01000016	58371
AB110645	9678
NC_014033	3619559
GL945092	609109
CP028460	1932687
CP025268	4643559
CP001340	4042929
NZ_GG692714	254337
NZ_GG692727	94057
AF027499	5591
NZ_AAXF02000034	67448
NZ_JH815203	1217791
U00096	4641652
NZ_CP084061	6247046
JX087428	18410
NC_009004	2529478
NC_011593	2832748
NZ_KB290658	127508
AAXF02000049	428982
AAXF02000047	267235
NC_010999	3079196
CP001834	2598144
LC529899	7951
NZ_AAXF02000033	87788
Z49241	2500
NC_000964	4215606
NZ_JQNJ01000001	4424696
NZ_DS995511	989858
JAHNZS010000006	138284
CP003170	9239851
NC_010995	4576573
NZ_CP074436	4423854
HG738867	4527247
M77351	10995
GU591787	7858
JH724241	3664698
NZGN01000053	14394
LT674124	40408
EQ973490	2178212
NZ_CP113514	6743055
NZ_CP034484	4211262
NZ_AAXF02000054	1147684
DQ868502	77747
NZ_AAXF02000038	93223
AM260479	4052032
NZ_ABJL02000008	3472993
NC_015977	3592125
NZ_AAXF02000040	125494
NZ_CP012938	6472489
DS264579	428982
ACXX02000001	699012
NZ_DS990126	123012
MSTC01000055	3791
NC_009614	5163189
NZ_AAXF02000048	388389
JABKKE010000021	60972
NC_004350	2032925
CP007224	6444091
NZ_HG326223	5113802
LT796702	31149
JX424618	37675
NC_003063	2075577
NC_006347	5277274
CP007016	2031692
NC_004307	2256640
NC_023151	1869644
NZ_CP027060	4653240
NC_020517	2422684
NZ_SEUH01000010	111950
JPOL01000003	361944
NZ_AAYG02000020	167462
CP016359	4007868
CP006712	2288919
KU644713	16598
NZ_KB290676	100419
JX424621	37939
AE005176	2365589
AB516430	22777
MSTC01000063	78252
NZ_ABJL02000006	574965
JX424627	22810
NZ_ACFY01000156	66589
M57692	12854
JQ844187	31215
NZ_CP060437	202410
LN890332	35714
KM066603	6947
NZ_DS499729	107816
AE016795	3281866
CP001348	4068724
NZ_AAXF02000041	139020
L41732	13896
FP929033	5976145
LR131281	30142
NZ_CP090614	3057872
CP091800	1144609
NC_003902	5076188
CP001655	4813854
NC_002505	2961149
AM406671	2529478
NZ_CP079235	2316707
NC_020238	5646799
AH007017	8301
JAHNZS010000043	18145
LT674128	44062
PJEE01000011	519233
NZ_CVRR01000009	90715
LR131282	31485
NZ_AAXF02000052	491071
NZ_JAEFCJ010000001	5176680
DS362223	98921
ACXX02000002	471863
CR626927	5205140
NZ_CP016797	2488939
JF327803	13109
NC_004567	3308273
NZ_GG694015	760519
NC_009328	3550319
AF135399	5311
NC_013132	9127347
AF039487	4846
NZ_DS362248	487318
AE015928	6260361
LN997842	8353915
FP929042	3344951
JABUTP010000015	32695
AY297960	4055
LT965928	3620649
NZ_LACM01000001	2834482
NZ_AAXF02000053	555155
NZ_AAXF02000042	143787
LR131285	33455
NZ_CP022479	3110044
LR131278	36787
CP007013	1869644
AM743169	4851126
NZ_NFHS01000001	814155
MH687413	27138
NZ_AAXF02000051	507553
CP001840	2214656
NZ_CP090615	1309572
AY230005	6200
CP001656	7184930
RHLF01000001	1487548
NZ_DS362241	210193
NZ_PJAI02000001	664069
NC_002973	2905187
CP002038	4922802
CP000033	1993560
FP476056	5521712
CP000685	6096872
CP001095	2832748
NZ_AAXF02000050	426007
AF135398	10091
NC_000853	1860725
LT674122	30320
NZ_AAXF02000035	81283
NZ_GL882595	483280
NC_002737	1852433
JABKKG010000004	403616
CP000410	2046116
NC_012028	525943
KC246798	35040
JPDI01000001	2894172
CP001393	2919718
NC_012034	2919718
AE006468	4857450
NZ_AAXF02000030	70358
NZ_CP014224	3427057
AE007317	2038615
AF508972	5842
AAXF02000051	507553
NZ_PXJC01000002	323931
AB728624	5103
NZ_ABQA01000009	26158
NC_008526	2895264
NZ_AKZK01000039	51942
NZ_AP022379	2273627
PJDT01000028	178408
CP003873	4629479
Z49992	6863
NZ_ABQC02000019	760260
NC_004663	6260361
X81461	8555
JABDHV010000033	33560
AB669415	4913
NC_006370	4085304
AAXF02000045	201844
JABKKG010000006	217139
JAATOH010000049	40541
NC_006840	2897536
NZ_KI912107	5926711
NZ_CP010086	6485394
NZ_GL622542	349369
NZ_CP102288	3325514
NC_003098	2038615
DS264583	555155
NZ_CAJQES010000017	80886
LR131274	33103
AAXF02000052	491071
NC_010655	2664102
CU207366	3798465
NZ_JHZY01000004	2318059
