query_accession	query_start	query_end	tax_id	subject_accession	subject_start	subject_end	evalue	pident	alignment_length
MSTC01000063	1	78252	47715	CP067365	303923	382184	0.0	99.96294640005111	3172945
FM179324	NA	NA	47715	NO_HIT	NA	NA	NA	NA	NA
ACXX02000019	1	96826	29362	CP119677	2183024	2279848	0.0	99.99277076082579	5027861
KM066603	NA	NA	909925	NO_HIT	NA	NA	NA	NA	NA
LT674127	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
KU644713	NA	NA	122631	NO_HIT	NA	NA	NA	NA	NA
NZ_AAXF02000035	1	81274	None	LT622246	5342138	5423410	0.0	99.88067853320705	6475296
AF135398	1	10091	56956	AP046146	1761475	1771569	0.0	99.31662870159454	2139201
LT796703	NA	NA	1861841	NO_HIT	NA	NA	NA	NA	NA
Z49992	7	6863	1423	CP195112	4004697	4011554	0.0	99.95625546806649	4266306
OZ022674	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
MH687413	NA	NA	53249	NO_HIT	NA	NA	NA	NA	NA
NZ_KB290636	1	90627	649756	AP028031	690827	781454	0.0	99.99668976475262	2804089
LR131281	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
LT674131	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
NZ_AAXF02000033	1	87788	None	LT622246	297883	385671	0.0	99.99430465537469	6475296
NZ_ACFY01000156	NA	NA	360807	NO_HIT	NA	NA	NA	NA	NA
LT674128	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
U61727	NA	NA	571	NO_HIT	NA	NA	NA	NA	NA
L41732	1	13896	33996	AM889285	472671	486565	0.0	99.8633191856701	3944163
AY230005	1	6200	2133	CP047437	423070	429260	0.0	99.75806451612904	1742208
EU599185	1	17600	158899	CP002745	3512820	3530419	0.0	100.0	5186898
AB516430	NA	NA	252514	NO_HIT	NA	NA	NA	NA	NA
KC246824	NA	NA	1393527	NO_HIT	NA	NA	NA	NA	NA
JABKKF010000013	NA	NA	2736291	NO_HIT	NA	NA	NA	NA	NA
NZ_CVRR01000009	1	90715	301302	CP173697	2408256	2498970	0.0	100.0	3385415
JF327803	NA	NA	1422	NO_HIT	NA	NA	NA	NA	NA
NZ_AKZK01000039	1	51942	231049	CP045181	2397083	2449024	0.0	100.0	2837676
LR131278	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
JN903693	NA	NA	1194347	NO_HIT	NA	NA	NA	NA	NA
M77351	1	10995	1309	AP014571	837186	848180	0.0	99.33630330030003	2094589
JX424621	NA	NA	1231728	NO_HIT	NA	NA	NA	NA	NA
D83026	1	65143	1423	CP157216	3963163	4028310	0.0	99.94320798158097	4220251
EU670680	NA	NA	1582	NO_HIT	NA	NA	NA	NA	NA
LC529899	NA	NA	1479	NO_HIT	NA	NA	NA	NA	NA
ADOP01000016	NA	NA	228	NO_HIT	NA	NA	NA	NA	NA
GU591787	NA	NA	360807	NO_HIT	NA	NA	NA	NA	NA
KC246798	NA	NA	1393449	NO_HIT	NA	NA	NA	NA	NA
LT796702	NA	NA	1861841	NO_HIT	NA	NA	NA	NA	NA
NZ_AAXF02000034	1	67448	None	LT622246	4169515	4236982	0.0	99.95998280742837	6475296
AAXF02000034	1	67448	28116	LT622246	4169515	4236982	0.0	99.95998280742837	6475296
LR131276	1	35669	77133	LR594814	6928	42594	0.0	99.99439289018476	42594
DQ396803	1	10449	1597	CP107221	585722	596170	0.0	99.99042970619197	3116663
LR131277	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
AF132735	1	14184	1493	CP002160	3447463	3461647	0.0	99.95065209728587	5262222
JABKKE010000016	NA	NA	2736291	NO_HIT	NA	NA	NA	NA	NA
AF039487	1	4846	2337	CP000916	783048	787900	0.0	99.73217964565308	1884562
NZ_AAXF02000030	1	70358	None	LT622246	4508969	4579326	0.0	99.98863022654274	6475296
LR131280	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
AF228498	1	11526	562	AP031375	584033	595560	0.0	99.56642386403053	5031330
NZ_MWQX02000053	NA	NA	573	NO_HIT	NA	NA	NA	NA	NA
LR131275	NA	NA	77133	NO_HIT	NA	NA	NA	NA	NA
KF840174	NA	NA	1422	NO_HIT	NA	NA	NA	NA	NA
JX424622	NA	NA	1231729	NO_HIT	NA	NA	NA	NA	NA
EU024644	1	15276	324057	CP001656	1571962	1587237	0.0	100.0	7184930
HF548278	NA	NA	433724	NO_HIT	NA	NA	NA	NA	NA
AB034969	NA	NA	91619	NO_HIT	NA	NA	NA	NA	NA
JX424618	NA	NA	1231727	NO_HIT	NA	NA	NA	NA	NA
